epoch,train_loss,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold,is_best_epoch,epoch_seconds
1,0.34231338251091253,0.8039059690653582,0.0691230042490525,0.37607361963190183,0.049889431142290684,0.05445493757724762,1,32.283000469207764
2,0.05140816993395386,0.8492700182573893,0.09821861398006704,0.4601226993865031,0.04994662193076102,0.0567438043653965,1,32.278294801712036
3,0.048468200900954383,0.8641442195745785,0.1070826387089387,0.4742331288343558,0.04997204005897006,0.045176658779382706,1,32.07547473907471
4,0.047228906247225234,0.8664951196414141,0.1120531420499591,0.47484662576687114,0.04988307661023842,0.04910309612751007,1,32.274999380111694
5,0.046634586064713164,0.8688333769184059,0.11720186307240663,0.4852760736196319,0.04976234050124549,0.032270397990942,1,32.20258831977844
6,0.046534545113307374,0.8693277361211562,0.11660678148948933,0.4754601226993865,0.049902140206395204,0.03951553255319595,0,32.13747310638428
7,0.04604744544630043,0.8697439618690651,0.11774823682714722,0.47975460122699387,0.04964795892430481,0.03317401185631752,0,32.21721887588501
8,0.04588325466428297,0.8696297498762621,0.12049438094477763,0.47914110429447854,0.049902140206395204,0.05311599746346474,0,32.18383455276489
9,0.04567752771674563,0.8715218449319526,0.12413761220818308,0.4822085889570552,0.04968608611661837,0.041588399559259415,0,32.222933769226074
10,0.04581001831526257,0.8720322464042705,0.12943900297732247,0.49141104294478527,0.04999110365512684,0.035036083310842514,1,32.24691915512085
11,0.04556725488513351,0.8723784300048684,0.12016888540320293,0.48773006134969327,0.04997204005897006,0.023304587230086327,0,32.19296097755432
12,0.04523699220694607,0.8739368711937132,0.12495944048335811,0.48773006134969327,0.049838594885872604,0.03881534934043884,0,32.16386008262634
13,0.045064036194825755,0.8738373701375355,0.12742135134867807,0.49079754601226994,0.04991484927049972,0.03974694013595581,0,32.28666663169861
14,0.04519104709257558,0.8748172058428636,0.12736019676233398,0.496319018404908,0.04997204005897006,0.040660470724105835,1,32.31046938896179
15,0.044977556061715225,0.8677575000631554,0.12177652293643779,0.47791411042944787,0.04997204005897006,0.06726251542568207,0,32.222562313079834
16,0.04507632341692429,0.8738658056938479,0.12890815074278578,0.496319018404908,0.04999110365512684,0.049284934997558594,0,32.16108775138855
17,0.04498619874195544,0.8725933262443265,0.1256773136268306,0.4742331288343558,0.04999745818717909,0.027582764625549316,0,32.16520404815674
18,0.04480404158964354,0.872866994108296,0.12553731924515357,0.4815950920245399,0.04981953128971583,0.05400969088077545,0,32.13837265968323
19,0.04468650122939671,0.8729005893107258,0.1280833146812349,0.49570552147239266,0.049813176757663565,0.04359563812613487,0,32.29104256629944
20,0.04475427764311747,0.8753789737656846,0.12934544703228584,0.49570552147239266,0.049838594885872604,0.04712669178843498,0,32.16318154335022
