epoch,train_loss,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold,is_best_epoch,epoch_seconds
1,0.11261505293448236,0.8694613957109794,0.11623776469987222,0.456441717791411,0.04990849473844746,0.05001947283744812,1,27.997703313827515
2,0.04570666563089777,0.8756476145320584,0.11921304466491559,0.47484662576687114,0.04991484927049972,0.03277119621634483,1,28.336244106292725
3,0.0447097094598453,0.8763266528098884,0.11995350396496196,0.45521472392638035,0.0498703675461339,0.029171675443649292,0,26.95211434364319
4,0.04445591584979846,0.878354949268223,0.12511500315722113,0.47484662576687114,0.04995297646281328,0.05708618834614754,0,27.918315649032593
5,0.04415404654915695,0.8748440157305466,0.1256741915969447,0.4822085889570552,0.0499656855269178,0.05175144597887993,1,25.829784154891968
6,0.04413434853835747,0.8785642316879541,0.12796891629330098,0.4766871165644172,0.04997839459102232,0.04770833998918533,0,25.055620670318604
7,0.04383065449319806,0.8806289400047969,0.12838199184316545,0.4742331288343558,0.04995933099486554,0.05195937678217888,0,24.662644624710083
8,0.043739544476567145,0.8788390671484572,0.12929634983261176,0.47300613496932514,0.049787758629454525,0.04616821929812431,0,25.00829291343689
9,0.04367490626653126,0.881679753494057,0.1294453508772061,0.4822085889570552,0.0498703675461339,0.0710633248090744,0,26.36136794090271
10,0.043671045914134135,0.880687122957934,0.12655282583430674,0.4668711656441718,0.04994026739870876,0.0513804629445076,0,28.22204303741455
11,0.04349496693723061,0.8803390057083189,0.1293978767168207,0.48098159509202454,0.049864013014081644,0.052303653210401535,0,25.823381662368774
12,0.04345364957997446,0.88168104584214,0.1291486962538798,0.4822085889570552,0.04988307661023842,0.05799999460577965,0,25.54099202156067
13,0.043257658326810375,0.8791174658250928,0.12820182604208705,0.46932515337423314,0.04998474912307458,0.032750580459833145,0,27.458214282989502
14,0.04326509797808812,0.8818451896426275,0.1292060830550411,0.47975460122699387,0.04985765848202938,0.05589519068598747,0,26.942617416381836
15,0.043276251792749985,0.8802703806606406,0.12453572219202713,0.4723926380368098,0.04997204005897006,0.04741736501455307,0,26.084469318389893
16,0.04325544936112796,0.8820939013489697,0.12963583847673468,0.4803680981595092,0.049851303949977124,0.029142038896679878,0,26.20972776412964
17,0.04311177848921059,0.8824715047968531,0.1303282179155034,0.4840490797546012,0.04998474912307458,0.04644540324807167,1,26.20225954055786
18,0.04312856100562609,0.8819803676927169,0.1288979725214349,0.4785276073619632,0.04998474912307458,0.05744439736008644,0,26.362102508544922
19,0.04306109224967115,0.8790969441952012,0.12939619047905276,0.47730061349693254,0.04968608611661837,0.023185312747955322,0,26.346532821655273
20,0.043049576342511484,0.8823446578111779,0.13037436414702572,0.4785276073619632,0.04999110365512684,0.038431596010923386,0,26.29467248916626
