stage,trial,best_iteration,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
lightgbm,0,223,gbdt,244,12,0.045918988705873284,289,0.749816047538945,1,0.608233797718321,5.360294728728285,0.31044435499483225,4.997040685255803e-07,0.8735902607089069,0.1267635371055021,0.47914110429447854,0.04985765848202938,0.5955603245015418
lightgbm,1,704,gbdt,72,10,0.014689372953975089,159,0.6727299868828402,1,0.7824279936868144,0.1165691561324743,6.267062696005991e-07,0.00012997969313168238,0.8912752469846771,0.13805757294829382,0.5202453987730061,0.04999745818717909,0.7344063577338621
lightgbm,2,633,gbdt,41,10,0.015380821666156693,57,0.836965827544817,1,0.8736932106048627,9.148975058772307e-05,1.254134495897175e-07,9.149877525022172e-05,0.8916907164263171,0.14118655766780458,0.5214723926380368,0.04955899547557318,0.7661305921094127
lightgbm,3,1,gbdt,235,4,0.17877333612826407,315,0.6137554084460873,1,0.9757995766256756,1.1309571585271483,0.002404915432737351,0.23713402899336497,0.8116381149354739,0.04594848341627237,0.27423312883435585,0.0351850439733618,0.9999829443569452
lightgbm,4,806,gbdt,75,10,0.014094313993387368,226,0.6353970008207678,1,0.6563696899899051,0.16587190283399655,4.6876566400928895e-08,0.7854083114461319,0.8907346088555512,0.13884398697428624,0.5202453987730061,0.049864013014081644,0.7290740201052315
lightgbm,5,1014,gbdt,75,4,0.018760897310138556,64,0.908897907718663,1,0.9452413703502374,0.004070831640873338,9.507847858536042e-06,3.224532824812341e-08,0.8914501369616075,0.13829361312789765,0.5202453987730061,0.04953357734736414,0.7788734726985047
lightgbm,6,135,gbdt,104,6,0.08275481892245508,233,0.7243929286862649,1,0.9083868719818244,0.0002780739892288472,0.0005065186776865479,2.632256136809142e-05,0.8683068766484747,0.11801628283427476,0.47730061349693254,0.04999110365512684,0.8132886266611696
lightgbm,7,473,gbdt,55,10,0.02272103268578588,307,0.610167650697638,1,0.6915192661966489,4.929685216887945e-08,4.052873758065144e-06,1.9488135833929595e-07,0.8900058492882768,0.1369289695581157,0.5153374233128835,0.04995297646281328,0.7611015136420058
lightgbm,8,131,gbdt,212,10,0.09829639089252526,361,0.9718790609370292,1,0.7272013899887455,9.782893389157736e-08,1.1256839212661599e-06,2.6113333123958975e-05,0.8515059110402938,0.10919620478307983,0.4619631901840491,0.0499656855269178,0.6290011240965496
lightgbm,9,1,gbdt,224,4,0.1620197345919019,143,0.9272059063689972,1,0.8075162486973464,0.02124078827890451,1.8735548907110496e-05,0.5946434805027183,0.8146259164950553,0.04593741248905106,0.27423312883435585,0.0351850439733618,0.9999267773435274
lightgbm,10,1511,gbdt,156,-1,0.005342518154571319,25,0.8304844844065635,1,0.876098829427658,1.7856978181230185e-05,1.2602282632033317e-08,0.003827892409880944,0.8909580427791777,0.137291730150062,0.5159509202453988,0.04989578567434294,0.6442520003796717
lightgbm,11,1556,gbdt,33,8,0.008699528472689653,131,0.8206860403245274,1,0.8079182573731435,7.321098518837309e-06,2.757303879830083e-07,0.0005898069806837353,0.892452928901285,0.14098484353251883,0.5202453987730061,0.04992755833460424,0.7632677042499406
lightgbm,12,231,gbdt,123,10,0.03503510739733248,125,0.7067964291781478,1,0.8567074396432754,0.0007187551363037046,0.017135800201450575,0.0010874832309519362,0.8819481038232296,0.12998858551234005,0.49325153374233127,0.0499656855269178,0.7239019435110727
lightgbm,13,522,gbdt,163,10,0.012148095618109407,78,0.8695456595762009,1,0.7492993603613463,1.124934666071625e-05,4.0607263828771085e-05,3.022023358379074e-06,0.8872197417455798,0.13686769467548396,0.507361963190184,0.049667022520461596,0.6915481534348782
lightgbm,14,1605,gbdt,32,6,0.008099647716735067,177,0.7648906340765093,1,0.7635343580138553,0.028891905141459902,1.3919362599907926e-07,0.012357548058364271,0.8919512405450021,0.14244711844824864,0.5269938650306748,0.04971785877687967,0.7678397460453011
lightgbm,15,2317,gbdt,35,6,0.005206853334788987,190,0.7762944998816358,1,0.8474999158343458,0.00016422709776776876,3.8731769435690775,0.017108776726795227,0.8915005209936585,0.14159077398969278,0.5202453987730061,0.049864013014081644,0.7633810826062175
lightgbm,16,932,gbdt,188,6,0.008848049993627287,22,0.8631783750324193,1,0.9003988944050104,1.4375654565931071e-06,7.533516226989696e-08,0.023394168712247053,0.8872924290155887,0.1347757946304997,0.505521472392638,0.04998474912307458,0.7495395772736232
lightgbm,17,716,gbdt,94,8,0.008660740480861935,84,0.7963949144004255,1,0.7520730905544443,0.004433823894543515,0.00010248962777408453,0.032673883900432396,0.8880925230782569,0.13763361426867832,0.5104294478527608,0.04999745818717909,0.7368331143254053
lightgbm,18,358,gbdt,50,12,0.02728321253331494,259,0.9907367696297282,1,0.8332303537762952,4.2321150477071093e-07,4.390124482551848e-08,8.455058999389346e-05,0.8886394728560902,0.13916187455238943,0.50920245398773,0.04990849473844746,0.7639915745935598
lightgbm,19,222,gbdt,127,-1,0.04416898741589359,187,0.7616287146723625,1,0.9978261226140924,0.03314523313593972,2.3331413119963655e-06,0.0020747109253180444,0.878643080514962,0.1277755481988643,0.5,0.04988307661023842,0.6898610444311449
lightgbm,20,1298,gbdt,57,6,0.008103339534433335,396,0.8564991980945985,1,0.6960313971494949,6.781934924925599e-05,1.2722974438529015e-08,5.972976835140954e-06,0.8902490134491527,0.142239934067872,0.5177914110429448,0.04991484927049972,0.754861777329527
lightgbm,21,704,gbdt,81,10,0.014784348263733933,156,0.6780094632538718,1,0.7888287749470365,0.28452983635247,3.627720287564094e-07,0.00017484384969404247,0.8903724356149457,0.13849469657313762,0.5165644171779141,0.04992120380255198,0.7240933465630666
lightgbm,22,645,gbdt,34,10,0.01910689547621219,108,0.6636976461559223,1,0.7844039138489229,0.002426432815921193,3.2248379147644275e-07,0.0002258927369306755,0.8927481417477007,0.14145421267319866,0.5214723926380368,0.04997839459102232,0.770298163991725
lightgbm,23,497,gbdt,39,6,0.019816487238679556,103,0.6648862317324198,1,0.7615437642001366,0.0008245458834717187,2.579708256605178e-07,0.004708201230042063,0.8907697264167334,0.1390420088174451,0.5122699386503068,0.04997839459102232,0.7688349486026267
lightgbm,24,902,gbdt,58,10,0.01117144597459566,48,0.7356142366839901,1,0.8226877449585334,0.004807848209521208,8.849916994630098e-08,0.10198695727949221,0.8923439896106911,0.14065271397292195,0.5233128834355828,0.049902140206395204,0.7477793655506728
lightgbm,25,937,gbdt,102,8,0.006859576755580625,49,0.7169000410759295,1,0.9270408317204234,0.024770168711117337,3.488383131670759e-06,0.08690321165728278,0.8870622429143459,0.1367862934263107,0.50920245398773,0.04997839459102232,0.7270091058772347
lightgbm,26,863,gbdt,63,12,0.011663833430492942,45,0.7960791103096335,1,0.8783130109298076,4.417343954735564e-05,7.324412149715028e-08,0.11679975095080301,0.8914333344872852,0.13925453183971054,0.5196319018404908,0.04984494941792486,0.7401319015771043
lightgbm,27,1571,gbdt,49,-1,0.006383503427105685,95,0.7516820035491781,1,0.8242714954935498,0.009327579955292344,1.0707843315363969e-08,0.007973435583371304,0.8925443444976614,0.14039398741883918,0.5233128834355828,0.04978140409740227,0.7549859120245751
lightgbm,28,1382,gbdt,87,-1,0.006418485243030926,193,0.7411377775832796,1,0.7095215215175177,1.1733790235184398,1.1239578201674263e-08,0.01033218430029573,0.8924969233149106,0.14134981856607087,0.5196319018404908,0.04994026739870876,0.7253218904079416
lightgbm,29,902,gbdt,111,-1,0.010573484800739366,93,0.7494945181598479,1,0.6208518427584949,1.7094191311354405,0.06235292437688866,0.10474060951176702,0.8909511463575822,0.1408462871618822,0.5196319018404908,0.0498703675461339,0.6951414722850169
lightgbm,30,1272,gbdt,60,-1,0.006775690939493899,163,0.695272423985985,1,0.8269641400875719,0.00835499469755443,2.5436166001027845e-08,0.043347899113161566,0.8925937305173167,0.14195351971251347,0.5257668711656441,0.049902140206395204,0.7497845274011387
lightgbm,31,1325,gbdt,62,-1,0.0068809031930788574,163,0.6956497292056393,1,0.8293128657257957,9.693267277829444,2.8799463048013726e-08,0.05056913082417501,0.89278269792691,0.14099728527448263,0.5165644171779141,0.04997204005897006,0.7463336541032813
lightgbm,32,2072,gbdt,50,-1,0.005196035262504057,113,0.7810487555835852,1,0.8162677862607134,0.010453540215226792,1.1197657466284527e-08,0.0061991426512045126,0.8924128134811514,0.141052692416772,0.5208588957055215,0.04999745818717909,0.7499512477743847
lightgbm,33,907,gbdt,64,-1,0.010844737458183623,168,0.7349653283171473,1,0.7692577397306049,0.044110215742261344,8.178091300562026e-07,0.32584991714804157,0.8917531233889506,0.14123590066048053,0.5214723926380368,0.04992120380255198,0.7423076858876114
lightgbm,34,920,gbdt,254,-1,0.006785952171212159,237,0.6976617016519222,1,0.8574543833487118,0.0012943863021291089,1.3893402493704592e-07,0.2036451998565588,0.8916687094732897,0.14013315300703888,0.5226993865030675,0.04995297646281328,0.5991875201671536
lightgbm,35,938,gbdt,44,6,0.00987949893092996,272,0.6415489823190461,1,0.7342596173139949,0.09589914104819572,1.3752186334100384e-06,0.0012760746622883486,0.891545369175701,0.1409657206342569,0.5165644171779141,0.049889431142290684,0.7627307214193881
lightgbm,36,702,gbdt,72,12,0.013796965722210312,67,0.771468778964483,1,0.7933636742226933,0.3713894091786779,4.7597189669187504e-08,0.9848971691103309,0.8911327963091007,0.13960273700911166,0.5122699386503068,0.04999745818717909,0.7344598441277648
