stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,1,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.5957247234647998,0.01465461974291851,0.09693251533742331,0.04931116872553505,0.054779805
stage_a_ft,0,2,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.7983641095405931,0.05548672858604467,0.3128834355828221,0.0499339128666565,0.023227941
stage_a_ft,0,3,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8623099468620774,0.10836080557435657,0.44355828220858895,0.049317523257587315,0.04110902
stage_a_ft,0,4,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8697765395666693,0.12240877552761414,0.47116564417177914,0.04999745818717909,0.052903924
stage_a_ft,0,5,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8727334631685084,0.12299155722366928,0.47484662576687114,0.04991484927049972,0.031960573
stage_a_ft,0,6,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8726746856962679,0.1255850722669616,0.4834355828220859,0.04990849473844746,0.05893867
stage_a_ft,0,7,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8746709970268587,0.13117864921163774,0.4840490797546012,0.04988307661023842,0.029945085
stage_a_ft,0,8,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.8766907811411834,0.13400265265802375,0.49570552147239266,0.04976234050124549,0.06717757
stage_a_ft,1,1,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8621313065416906,0.1167597338310646,0.45521472392638035,0.04972421330893193,0.030739129
stage_a_ft,1,2,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.8732784422617081,0.1309518846467011,0.48957055214723927,0.04971785877687967,0.031031176
