epoch,train_loss,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold,is_best_epoch,epoch_seconds
1,0.07933481566639859,0.8826697674833055,0.1348120319798454,0.5041766109785203,0.049929995333022205,0.037737052887678146,1,32.10044002532959
2,0.050817231193100505,0.8874249770987119,0.13248418120181105,0.5113365155131265,0.04998999933328888,0.041298069059848785,1,29.81589651107788
3,0.04929201945008742,0.8897267156712595,0.14327343885686175,0.5184964200477327,0.04987665844389626,0.05788762494921684,1,32.044565200805664
4,0.04851325279057904,0.8910522555123404,0.16105771416465312,0.5256563245823389,0.04999666644442963,0.04700677469372749,1,32.065643548965454
5,0.0478631758195235,0.8903096940750704,0.15325308510767904,0.5286396181384249,0.049929995333022205,0.04185888171195984,1,32.176002979278564
6,0.04777513622481231,0.8921856564502867,0.17070512341392274,0.5256563245823389,0.04996999799986666,0.046553511172533035,0,31.967345476150513
7,0.047494965949555906,0.8935909370887255,0.16635232899331426,0.5328162291169452,0.0499766651110074,0.050256554037332535,1,30.25150752067566
8,0.047327579559978565,0.8936246048065895,0.1722640630570577,0.5441527446300716,0.04996999799986666,0.034543391317129135,1,31.52468204498291
9,0.0471524672765669,0.8917753506558352,0.16576404208137296,0.529236276849642,0.049863324221614776,0.04485446214675903,0,31.561310291290283
10,0.04695982802087764,0.8934618294362027,0.16877106504995523,0.5393794749403341,0.049916661110740716,0.026796136051416397,0,31.547905683517456
11,0.046727512012376904,0.8931193563262212,0.1705395209101485,0.5268496420047732,0.049883325555037,0.03980307653546333,0,31.784770250320435
12,0.04681875652543054,0.8938901953049854,0.17200362644944106,0.538782816229117,0.04999666644442963,0.050751425325870514,0,31.567958116531372
13,0.046490000993641006,0.895096852916686,0.17181610744066828,0.5352028639618138,0.04998999933328888,0.05140877887606621,0,31.432114124298096
14,0.0462762334508547,0.8939799268240796,0.17235446223614484,0.535799522673031,0.049883325555037,0.05028798431158066,0,31.40997004508972
15,0.04629428268096961,0.8943715499887741,0.17413184968935339,0.5328162291169452,0.049983332222148145,0.0422188863158226,0,29.766306400299072
16,0.04619447969443257,0.8928806789187697,0.16444942635278753,0.5262529832935561,0.049883325555037,0.03813958540558815,0,32.26971459388733
17,0.046186303269468716,0.8954935937654396,0.17057511578496537,0.5417661097852029,0.04987665844389626,0.04630057513713837,0,33.01943111419678
18,0.046187303837166745,0.895024855276748,0.17310911504758464,0.5429594272076372,0.04993666244416294,0.035142362117767334,0,30.01232933998108
19,0.04608602155041101,0.8950713042762914,0.16828163158474993,0.529236276849642,0.049396626441762785,0.03978309780359268,0,32.16378688812256
20,0.045943274744949435,0.8939382633464347,0.15686646654342146,0.5298329355608592,0.04999666644442963,0.04600842669606209,0,32.037322998046875
