epoch,train_loss,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold,is_best_epoch,epoch_seconds
1,0.04802685063150495,0.9256781219782195,0.4677965435749423,0.6855608591885441,0.049689979331955465,0.013723351992666721,1,30.242069959640503
2,0.035836920665122576,0.9316897379475257,0.48231261600985936,0.6951073985680191,0.049503300220014666,0.02446439489722252,1,30.43358302116394
3,0.034735720648293486,0.9345488943495199,0.4884286750748769,0.701073985680191,0.049863324221614776,0.03146114945411682,1,30.954469919204712
4,0.03434108185793417,0.9354009260919702,0.48071806386196364,0.6986873508353222,0.0499766651110074,0.028786657378077507,0,31.073522090911865
5,0.03398139371726795,0.9366520019393496,0.49297011138332214,0.7028639618138425,0.04957663844256284,0.03583871200680733,1,30.52161145210266
6,0.03365866935770509,0.93699892045309,0.4948720865119318,0.7118138424821002,0.049209947329821986,0.03231275454163551,1,30.468835592269897
7,0.03353312762824979,0.9381216126421157,0.49723216923392083,0.7165871121718377,0.049956663777585175,0.03361775726079941,1,30.36816143989563
8,0.03342607299432087,0.9393248054245781,0.5002330319854358,0.7201670644391408,0.049836655777051805,0.01351428683847189,1,30.240275859832764
9,0.033382374553560676,0.9383999148073675,0.497437972675078,0.714200477326969,0.04986999133275552,0.04531090706586838,0,30.37369418144226
10,0.03307668489989204,0.9386431032554119,0.49865048646397225,0.7183770883054893,0.04981665444362957,0.029582036659121513,0,25.110209226608276
11,0.03305057636843593,0.9385508596356703,0.5004271523021455,0.7028639618138425,0.049836655777051805,0.02620117925107479,0,22.33381175994873
12,0.033043641782522726,0.9386269923961519,0.49951282641979916,0.7159904534606205,0.04992332822188146,0.028316186740994453,0,22.143852710723877
13,0.03284884586654536,0.9386159296061265,0.49944307682477374,0.7165871121718377,0.04946996466431095,0.023687195032835007,0,22.186439752578735
14,0.032845410630202965,0.9400542673409731,0.5037131495909231,0.7171837708830548,0.04990332688845923,0.02726089395582676,0,22.15650701522827
15,0.032800144022614434,0.9392169581392937,0.5027695223661752,0.711217183770883,0.04964330955397026,0.03257971256971359,0,22.20756196975708
16,0.03260691489846041,0.9384186451730034,0.49863658046720644,0.7082338902147971,0.049836655777051805,0.017346216365695,0,21.8353328704834
17,0.03261245737205602,0.9396236757868186,0.5037166729900925,0.7225536992840096,0.0495233015534369,0.026618406176567078,1,21.95526361465454
18,0.03256173843964011,0.9364673158003693,0.4771971314481618,0.7034606205250596,0.04984998999933329,0.023989195004105568,0,22.100950241088867
19,0.03250173303718546,0.9397561488188313,0.5017358194360809,0.7118138424821002,0.04993666244416294,0.028778454288840294,0,22.19137477874756
20,0.032464380999668536,0.939013748490154,0.4985634452107984,0.7082338902147971,0.049649976665111006,0.02988898754119873,0,22.12971544265747
