stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,1,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.7375248275075919,0.047547031613041815,0.2809815950920245,0.04992755833460424,0.012454837
stage_a_ft,0,2,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8728545111563752,0.12569610447320712,0.48957055214723927,0.04988307661023842,0.034975003
stage_a_ft,0,3,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8833352221497625,0.13600637767394985,0.5104294478527608,0.0499656855269178,0.061344787
stage_a_ft,0,4,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8834230940224359,0.1359540045121617,0.50920245398773,0.04985765848202938,0.042167637
stage_a_ft,0,5,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8863824658734341,0.14385335541107325,0.5239263803680981,0.04995933099486554,0.03595557
stage_a_ft,0,6,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8867567244203965,0.15134982076378234,0.5269938650306748,0.04985765848202938,0.028232563
stage_a_ft,0,7,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8863825185029939,0.14929649273787268,0.5257668711656441,0.04971150424482741,0.08195885
stage_a_ft,0,8,32,2,4,64,0.38796394086479774,8,2.0,0.2,0.0,0.1,2.0,0.0020396887264773375,8192,0.8867475824709103,0.15001354849222961,0.5239263803680981,0.04992755833460424,0.06006487
stage_a_ft,1,1,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.7962553600282937,0.06688770371510847,0.3576687116564417,0.0499339128666565,0.40378183
stage_a_ft,1,2,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8256884160857143,0.07502175520516884,0.38466257668711656,0.049825885821768084,0.07911202
stage_a_ft,1,3,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8597024075177779,0.08604987308616571,0.4361963190184049,0.04980682222561131,0.04342444
stage_a_ft,1,4,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8705255108342043,0.10967512366605489,0.47791411042944787,0.04997839459102232,0.027241582
stage_a_ft,1,5,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.873333317349541,0.1125465910586505,0.47914110429447854,0.0494763865588938,0.040170174
stage_a_ft,1,6,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8773909609081663,0.12631571013448994,0.49877300613496933,0.049825885821768084,0.031097427
stage_a_ft,1,7,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8799678698485797,0.12818280970818524,0.5061349693251533,0.04992755833460424,0.0402757
stage_a_ft,1,8,64,2,8,128,0.236965827544817,8,2.0,0.2,0.0,0.1,2.0,0.0003338655952471722,8192,0.8822627545204502,0.1347545622903874,0.5128834355828221,0.0499656855269178,0.031130305
stage_a_ft,2,1,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.7220486960656168,0.03525984326109275,0.24171779141104294,0.04990849473844746,0.4094467
stage_a_ft,2,2,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.7703013322997667,0.0589006045229265,0.3128834355828221,0.04997839459102232,0.14592777
stage_a_ft,2,3,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8128676330701388,0.07391682913856211,0.3834355828220859,0.049031569315235626,0.05700341
stage_a_ft,2,4,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8536769778500506,0.10503470100399183,0.4656441717791411,0.0499656855269178,0.07466348
stage_a_ft,2,5,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8664095790633217,0.12219047932135912,0.48895705521472393,0.04984494941792486,0.04946526
stage_a_ft,2,6,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.876309105724755,0.13465473918903945,0.5030674846625767,0.04995933099486554,0.03612643
stage_a_ft,2,7,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8801780742602312,0.14043844460176722,0.5159509202453988,0.04971150424482741,0.028893456
stage_a_ft,2,8,16,5,4,192,0.2650089137415928,8,2.0,0.2,0.0,0.1,2.0,0.000614939415628505,8192,0.8821110702809687,0.14548022351479076,0.5159509202453988,0.04970514971277515,0.03077363
stage_a_ft,3,1,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.6763815239992352,0.025869620420684324,0.18711656441717792,0.04954628641146866,0.26071474
stage_a_ft,3,2,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.7873120695876619,0.05892671566262614,0.32515337423312884,0.04997204005897006,0.04671661
stage_a_ft,3,3,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.8612953366623284,0.10279939956981354,0.4601226993865031,0.049800467693559045,0.059467975
stage_a_ft,3,4,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.8758292820267637,0.12438423809339721,0.5024539877300613,0.04995297646281328,0.06484136
stage_a_ft,3,5,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.8799342532044776,0.12893964000827907,0.49754601226993866,0.049838594885872604,0.04168949
stage_a_ft,3,6,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.8830589520464398,0.13617122139584273,0.5110429447852761,0.049902140206395204,0.03917873
stage_a_ft,3,7,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.885184640480069,0.14323860114067913,0.5257668711656441,0.0491459508921763,0.046234906
stage_a_ft,3,8,32,6,8,192,0.3314950036607718,8,2.0,0.2,0.0,0.1,2.0,0.0006821416720689545,8192,0.88628883983554,0.14567465033874658,0.5306748466257669,0.049787758629454525,0.056705367
stage_a_ft,4,1,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8828809393822865,0.1353712257733352,0.5134969325153375,0.04997839459102232,0.02918054
stage_a_ft,4,2,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8856860169574782,0.1507729183807774,0.5208588957055215,0.04968608611661837,0.046586715
stage_a_ft,4,3,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8862926330623419,0.1520326107338136,0.5233128834355828,0.04963524986020029,0.05034181
stage_a_ft,4,4,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8872634710621627,0.14947068168120906,0.5202453987730061,0.04974327690508871,0.04121069
stage_a_ft,4,5,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8890509970299776,0.14955711798945032,0.5306748466257669,0.04938106857810991,0.04123734
stage_a_ft,4,6,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8875285953942352,0.1530760750376525,0.5190184049079755,0.04976234050124549,0.032591235
stage_a_ft,4,7,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8877472985051958,0.15379431848838476,0.5319018404907976,0.0498703675461339,0.03217676
stage_a_ft,4,8,32,2,4,128,0.04634762381005189,8,2.0,0.2,0.0,0.1,2.0,0.0021888937469133466,1024,0.8890139984493383,0.15593278810980962,0.5300613496932516,0.04978140409740227,0.024807625
