epoch,train_loss,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold,is_best_epoch,epoch_seconds
1,0.0874267475671491,0.925690034069097,0.46928653955718824,0.6837708830548926,0.049689979331955465,0.04600847139954567,1,44.15405249595642
2,0.03555766316092348,0.931333652155967,0.4795762211914301,0.6915274463007159,0.04974998333222215,0.026754768565297127,1,40.49560856819153
3,0.03448520899798647,0.9345070797082574,0.485790149954476,0.6933174224343676,0.04976331755450363,0.030551454052329063,1,41.66654014587402
4,0.03400579965885592,0.9361252106544573,0.4870577825962983,0.6968973747016707,0.049783318887925865,0.021750865504145622,1,42.73798441886902
5,0.03379910304209222,0.9341968621297108,0.49767838894429683,0.701073985680191,0.04981665444362957,0.01751950941979885,1,40.56670260429382
6,0.03357692972567831,0.936557675841874,0.494214313378326,0.7028639618138425,0.049796653110207346,0.058502357453107834,1,42.76849150657654
7,0.03353665943727586,0.9374412888464639,0.49673301872439257,0.6998806682577565,0.04999666644442963,0.02097419649362564,0,43.98943018913269
8,0.03304362095535339,0.9294457339319837,0.49599201002104326,0.6957040572792362,0.04994332955530369,0.009890959598124027,0,42.577813386917114
9,0.033132529416756054,0.9384872834004367,0.4954390088008055,0.7100238663484487,0.049769984665644376,0.04122740775346756,1,43.52436089515686
10,0.033647478166709786,0.9357642239792915,0.4886816208879142,0.698090692124105,0.04953663577571838,0.03181206062436104,0,40.428460121154785
11,0.0331116546178615,0.938794837714718,0.49783513623396813,0.7064439140811456,0.04994332955530369,0.014518613927066326,0,44.17497897148132
12,0.032813181400676454,0.9373662719121608,0.48856917472836753,0.7040572792362768,0.04990999399959997,0.06012653559446335,0,40.04534840583801
13,0.03276498438621849,0.9392419737290362,0.4960027135482066,0.7130071599045346,0.04982332155477032,0.04431278631091118,1,40.241445541381836
14,0.032949725209199386,0.9388738704298663,0.49541139757745106,0.7082338902147971,0.049689979331955465,0.04006899520754814,0,43.91043663024902
15,0.034954027029195624,0.9368895118067538,0.4863794036280984,0.701073985680191,0.04996333088872591,0.02351365052163601,0,42.38832187652588
16,0.03308429114607526,0.93529178794895,0.4915141383761528,0.7070405727923628,0.04965664377625175,0.01789630576968193,0,44.02370357513428
17,0.03277176597781401,0.9365249966545104,0.49048065193881696,0.7052505966587113,0.04996999799986666,0.018704093992710114,0,42.602681159973145
18,0.03339073722671151,0.9385336051043021,0.49949991748107936,0.701073985680191,0.04957663844256284,0.03787786141037941,0,42.82707452774048
19,0.03296377156837942,0.9394671279596841,0.49832957207751816,0.7064439140811456,0.049929995333022205,0.03150732442736626,0,40.80572986602783
20,0.032762754784733804,0.9363282412940497,0.4874538682908395,0.6963007159904535,0.04957663844256284,0.011707974597811699,0,40.72564888000488
