stage,trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,snn_T,snn_tau,snn_v_threshold,snn_v_reset,snn_head_dropout,snn_alpha_init,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
stage_a_ft,0,7,16,2,4,128,0.3059027793077,8,2.0,0.2,0.0,0.1,2.0,0.0017461299010306012,8192,0.9372298029892527,0.4871777912495754,0.7058472553699284,0.04970998066537769,0.025852002
stage_a_ft,1,8,48,2,8,256,0.31456097536390715,8,2.0,0.2,0.0,0.1,2.0,0.0007448364004301992,2048,0.9405888097392651,0.5004986747777773,0.7231503579952268,0.049663310887392495,0.021221016
stage_a_ft,2,5,32,6,8,192,0.3606360124601746,8,2.0,0.2,0.0,0.1,2.0,0.0003981152453468443,2048,0.9363904670016983,0.4922043527503277,0.7040572792362768,0.04987665844389626,0.027539343
stage_a_ft,3,7,48,4,4,256,0.2976269611749686,8,2.0,0.2,0.0,0.1,2.0,0.0025503926995585936,1024,0.9420672416347248,0.5054413461111557,0.7183770883054893,0.04994332955530369,0.009184368
stage_a_ft,4,5,48,6,8,192,0.17115355968835583,8,2.0,0.2,0.0,0.1,2.0,0.0008755606126749065,2048,0.941509911321057,0.4942674744022995,0.7147971360381862,0.04990999399959997,0.03915615
stage_a_ft,5,8,32,5,8,128,0.2059089353361061,8,2.0,0.2,0.0,0.1,2.0,0.0003517980171798373,1024,0.9420589594596681,0.5027583149584697,0.7267303102625299,0.04996333088872591,0.03518051
stage_a_ft,6,5,32,3,4,64,0.3759689660746642,8,2.0,0.2,0.0,0.1,2.0,0.000961571767993819,1024,0.9407783510149681,0.5001351949203603,0.7219570405727923,0.049476631775451696,0.01896245
stage_a_ft,7,8,32,4,4,128,0.15091543705314947,8,2.0,0.2,0.0,0.1,2.0,0.00045238999939350587,4096,0.9409936716544827,0.5019136208951543,0.7231503579952268,0.049916661110740716,0.021454567
stage_a_ft,8,2,48,3,4,192,0.1055047847647308,8,2.0,0.2,0.0,0.1,2.0,0.0019779202873020305,8192,0.925787295923149,0.4493412246926967,0.6485680190930787,0.04965664377625175,0.042094704
stage_a_ft,9,2,32,4,4,256,0.3979807989522047,8,2.0,0.2,0.0,0.1,2.0,0.0010893815595882357,1024,0.9319319398540651,0.46265090201513287,0.6897374701670644,0.049929995333022205,0.013940377
stage_a_ft,10,2,64,5,8,128,0.007204225755694571,8,2.0,0.2,0.0,0.1,2.0,0.00033122274585368865,4096,0.9192455730143346,0.4782390347963727,0.6766109785202864,0.04982998866591106,0.030863455
stage_a_ft,11,2,64,2,8,256,0.2561405305659475,8,2.0,0.2,0.0,0.1,2.0,0.0005744908586645679,2048,0.9309284302326599,0.48903308605223794,0.701073985680191,0.04998999933328888,0.023805697
stage_a_ft,12,2,16,5,8,64,0.21880635531481074,8,2.0,0.2,0.0,0.1,2.0,0.0006241171350138719,2048,0.9261545001965923,0.4633398436422392,0.6837708830548926,0.04996333088872591,0.02872849
stage_a_ft,13,2,48,5,8,256,0.0906560567976654,8,2.0,0.2,0.0,0.1,2.0,0.0003004615158520474,1024,0.9321903142787085,0.49026746549518374,0.6933174224343676,0.04984332288819254,0.03299807
stage_a_ft,14,5,32,3,8,128,0.25958984756887854,8,2.0,0.2,0.0,0.1,2.0,0.000622314401469813,1024,0.9404333956392639,0.49773037603631176,0.7183770883054893,0.04998999933328888,0.023694092
stage_a_ft,15,2,48,2,8,256,0.30424006542908644,8,2.0,0.2,0.0,0.1,2.0,0.0012079793402341352,2048,0.9360962707776384,0.486647444503995,0.698090692124105,0.049423294886325755,0.014860046
stage_a_ft,16,2,16,5,8,128,0.21534940720911902,8,2.0,0.2,0.0,0.1,2.0,0.00048477245783849223,8192,0.692824432130002,0.03095657331569747,0.21479713603818615,0.04994332955530369,0.27905062
stage_a_ft,17,2,64,3,8,64,0.3377271868658227,8,2.0,0.2,0.0,0.1,2.0,0.0007685013719012024,4096,0.9326522126136969,0.480069960870526,0.6974940334128878,0.049769984665644376,0.02172708
stage_a_ft,18,8,32,6,8,256,0.2585269765362759,8,2.0,0.2,0.0,0.1,2.0,0.0013958571377012386,1024,0.9419136295641666,0.5021849712515916,0.7237470167064439,0.049796653110207346,0.02786726
stage_a_ft,19,4,32,6,8,128,0.13909460844603821,8,2.0,0.2,0.0,0.1,2.0,0.0015178949374667684,1024,0.9394534894211721,0.4966440475543321,0.7177804295942721,0.04969664644309621,0.028641244
stage_a_ft,20,6,32,6,8,256,0.2550868724454365,8,2.0,0.2,0.0,0.1,2.0,0.001363179897142321,1024,0.938928305244216,0.5033753950236939,0.7219570405727923,0.0497899859990666,0.016907398
stage_a_ft,21,2,32,5,8,256,0.19406747882568526,8,2.0,0.2,0.0,0.1,2.0,0.001955080935320173,1024,0.9361020965439064,0.48272681698660547,0.6998806682577565,0.04984332288819254,0.02209295
stage_a_ft,22,1,48,6,8,256,0.2699861457955748,8,2.0,0.2,0.0,0.1,2.0,0.0008097524245410778,2048,0.9253950581590086,0.4713908432389897,0.6897374701670644,0.04949663310887392,0.011624361
stage_a_ft,23,3,32,5,8,256,0.326545878346262,8,2.0,0.2,0.0,0.1,2.0,0.002881169897053718,1024,0.9386398273806957,0.4941398225018787,0.720763723150358,0.0499766651110074,0.022409573
stage_a_ft,24,1,32,4,8,256,0.206279304060996,8,2.0,0.2,0.0,0.1,2.0,0.00112008313506273,1024,0.9334182103787031,0.4869991566363557,0.6992840095465394,0.04972998199879992,0.025229692
stage_a_ft,25,2,48,6,8,128,0.24536777324022377,8,2.0,0.2,0.0,0.1,2.0,0.0007390375925559647,2048,0.9281837782821161,0.4721370636907318,0.6939140811455847,0.049303286885792386,0.06021566
stage_a_ft,26,2,64,5,8,192,0.281847636127396,8,2.0,0.2,0.0,0.1,2.0,0.00038060231825978545,8192,0.8363425043769823,0.22087690995735082,0.5674224343675418,0.04976331755450363,0.07046698
stage_a_ft,27,2,16,4,8,64,0.17391540248160817,8,2.0,0.2,0.0,0.1,2.0,0.0005230057038473931,4096,0.823150682201407,0.3792487262125017,0.6002386634844868,0.049929995333022205,0.02492679
stage_a_ft,28,2,32,6,8,256,0.23331895356756369,8,2.0,0.2,0.0,0.1,2.0,0.00148035185599079,1024,0.9339398342546623,0.4820568491537887,0.701073985680191,0.04990332688845923,0.009929075
stage_a_ft,29,2,16,2,4,128,0.3179070172745651,8,2.0,0.2,0.0,0.1,2.0,0.0018366482818064052,8192,0.9088330252247524,0.43546983495958297,0.6223150357995226,0.04976331755450363,0.010835592
stage_a_ft,30,2,48,2,8,128,0.3579275468598116,8,2.0,0.2,0.0,0.1,2.0,0.0009824849471980906,2048,0.9319753655812536,0.4763822660352963,0.6992840095465394,0.04999666644442963,0.014180343
stage_a_ft,31,2,32,4,4,128,0.14914886220661164,8,2.0,0.2,0.0,0.1,2.0,0.00041194565485084536,4096,0.8977969076220038,0.43687585652108385,0.64618138424821,0.04972331488765918,0.030135911
stage_a_ft,32,2,32,3,4,128,0.09493211393766487,8,2.0,0.2,0.0,0.1,2.0,0.000450536712731895,4096,0.9167270081330801,0.4680807636588486,0.6634844868735084,0.04987665844389626,0.04056442
stage_a_ft,33,2,32,4,4,128,0.13021374234363897,8,2.0,0.2,0.0,0.1,2.0,0.00037365535020559654,4096,0.9040889161902759,0.43524666732327144,0.636038186157518,0.049929995333022205,0.03029021
stage_a_ft,34,2,32,5,4,192,0.17163977255011886,8,2.0,0.2,0.0,0.1,2.0,0.0007078478369724698,4096,0.9251419486040517,0.47743403555860003,0.6789976133651552,0.04984998999933329,0.02464891
stage_a_ft,35,2,32,6,4,128,0.05155929497661767,8,2.0,0.2,0.0,0.1,2.0,0.002298698083456948,1024,0.9300646912658139,0.477859920388415,0.6891408114558473,0.049889992666177746,0.04814539
stage_a_ft,36,2,48,3,4,256,0.28807726702234193,8,2.0,0.2,0.0,0.1,2.0,0.00030041049307959764,2048,0.9212047827850417,0.4670056142111657,0.6855608591885441,0.04996999799986666,0.009627721
stage_a_ft,37,2,32,6,4,192,0.18827976569004032,8,2.0,0.2,0.0,0.1,2.0,0.0004351166601896,4096,0.9089857581595336,0.45241853422186046,0.6515513126491647,0.04993666244416294,0.014469778
stage_a_ft,38,2,32,4,8,128,0.22520460043095672,8,2.0,0.2,0.0,0.1,2.0,0.0005480726144894328,1024,0.932287876471001,0.48093156146967614,0.6945107398568019,0.049983332222148145,0.011593427
stage_a_ft,39,2,48,5,4,64,0.34127835613080154,8,2.0,0.2,0.0,0.1,2.0,0.0003366229132371568,2048,0.923615689335534,0.46843734914930457,0.6807875894988067,0.04984998999933329,0.008760158
stage_a_ft,40,2,64,3,8,256,0.3892500948824214,8,2.0,0.2,0.0,0.1,2.0,0.0009204881787742492,8192,0.9207975917567137,0.4566584806137808,0.6652744630071599,0.049183278885259016,0.017436292
stage_a_ft,41,2,32,2,4,64,0.36493246832269044,8,2.0,0.2,0.0,0.1,2.0,0.0012615623132592232,1024,0.9332380989281543,0.4755615253067125,0.6974940334128878,0.049929995333022205,0.026399285
stage_a_ft,42,1,32,3,4,64,0.3654224275929914,8,2.0,0.2,0.0,0.1,2.0,0.0010093751414899162,1024,0.9220221423671681,0.4609990719105046,0.6855608591885441,0.0499766651110074,0.02346439
stage_a_ft,43,2,32,2,4,64,0.3042660157769245,8,2.0,0.2,0.0,0.1,2.0,0.0006478127562331561,1024,0.9340693834640686,0.4827118988994138,0.698090692124105,0.04982998866591106,0.028105348
stage_a_ft,44,2,32,3,4,64,0.3881961730483859,8,2.0,0.2,0.0,0.1,2.0,0.0008546759431383971,1024,0.934409237067674,0.4769144941819358,0.6909307875894988,0.04976331755450363,0.023999676
stage_a_ft,45,5,16,4,4,256,0.1202545656735837,8,2.0,0.2,0.0,0.1,2.0,0.0015771002496785499,1024,0.9393360909820401,0.48445501023208504,0.7130071599045346,0.04956330422028135,0.028889986
stage_a_ft,46,2,48,2,8,128,0.27976638635815904,8,2.0,0.2,0.0,0.1,2.0,0.0004771076020390702,2048,0.9300913577213819,0.4701798427725063,0.6873508353221957,0.04994999666644443,0.008131398
stage_a_ft,47,2,32,3,8,192,0.15798709550420648,8,2.0,0.2,0.0,0.1,2.0,0.0010992103929661089,1024,0.9365296429467612,0.48679112025984417,0.7094272076372315,0.049863324221614776,0.029958965
