epoch,train_loss,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold,is_best_epoch,epoch_seconds
1,0.06910610842707268,0.8997033254882069,0.3382025433783016,0.6229116945107399,0.04970331355423695,0.03576778247952461,1,35.393532514572144
2,0.04380951272378041,0.9193979757759506,0.46055684523199625,0.6682577565632458,0.0499766651110074,0.03381124511361122,1,35.22129964828491
3,0.03862650283217803,0.9255569464376383,0.4791800350526819,0.681980906921241,0.049769984665644376,0.018957823514938354,1,35.81849980354309
4,0.03729454099837582,0.9306126156222665,0.4808833502308076,0.6879474940334129,0.049883325555037,0.027713287621736526,1,32.901522636413574
5,0.03629364243131414,0.9316533433175577,0.4843163040028179,0.698090692124105,0.04900326688445896,0.01886938512325287,1,35.3387885093689
6,0.03612997196256743,0.9329751100351797,0.4888800251521379,0.701073985680191,0.04996999799986666,0.019728172570466995,1,32.29318904876709
7,0.03511184099120234,0.9336290418565693,0.48919609965128824,0.6986873508353222,0.04948329888659244,0.028629101812839508,0,33.251654386520386
8,0.034921899556050184,0.9341476961630378,0.4874296554747229,0.7028639618138425,0.049983332222148145,0.05424875766038895,1,33.08270597457886
9,0.03458165013483782,0.9355085506098179,0.4891312363424388,0.7028639618138425,0.04973664910994066,0.017387857660651207,0,33.02516746520996
10,0.034624326765863155,0.9366754621350254,0.494040101980207,0.7082338902147971,0.04998999933328888,0.038917236030101776,1,32.4481885433197
11,0.034259851775152735,0.9339009414470113,0.49130544946575216,0.698090692124105,0.04980332022134809,0.01422492042183876,0,35.7461621761322
12,0.03412735603380356,0.9373792640273073,0.4922425582599486,0.7058472553699284,0.049916661110740716,0.02832571417093277,0,32.1109824180603
13,0.033927748887069786,0.9363283347768132,0.493236153596436,0.7064439140811456,0.04984332288819254,0.03221504017710686,0,34.10486102104187
14,0.033927253998935904,0.9386155974439665,0.49564192830367715,0.7153937947494033,0.04980332022134809,0.03419486805796623,1,35.00007677078247
15,0.03373329137046324,0.9348012580313628,0.4865656634927975,0.6986873508353222,0.04982998866591106,0.013313660398125648,0,34.7948260307312
16,0.033517786170720335,0.9375969098019422,0.4975325112062982,0.704653937947494,0.049956663777585175,0.017301635816693306,0,34.2462854385376
17,0.0336162927335807,0.9376263906853933,0.4923325425642275,0.7106205250596659,0.049649976665111006,0.03780088573694229,0,31.999106645584106
18,0.03349323365605895,0.9383868013635277,0.4966811805407653,0.711217183770883,0.04990332688845923,0.04048338904976845,0,35.047768354415894
19,0.03333320686521026,0.9367864042964836,0.4880280081051016,0.704653937947494,0.04994332955530369,0.018715733662247658,0,32.329195499420166
20,0.0333331295856976,0.9384543933796063,0.500028070062781,0.7153937947494033,0.04992332822188146,0.015052804723381996,0,32.413245677948
