epoch,train_loss,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold,is_best_epoch,epoch_seconds
1,0.041553148996567965,0.9362307924744705,0.4741251152518602,0.7094272076372315,0.049929995333022205,0.02008812688291073,1,20.670079231262207
2,0.03524906301588528,0.9413655142641968,0.47363961071513583,0.7195704057279236,0.04994999666644443,0.026451746001839638,1,21.11646556854248
3,0.03422680043059664,0.9442087666624076,0.4861112989526432,0.727326968973747,0.049663310887392495,0.020264605060219765,1,20.36508560180664
4,0.03383893687192125,0.9450991760628116,0.5006415047531254,0.7297136038186157,0.04981665444362957,0.035623133182525635,1,20.807819604873657
5,0.033813357759143306,0.9440049861717115,0.4917699587807631,0.7326968973747017,0.04938995933062204,0.025567935779690742,1,21.792912483215332
6,0.03364755802796059,0.9448116628618519,0.49910777072468976,0.7321002386634845,0.049796653110207346,0.0338444784283638,0,22.075024604797363
7,0.03349875625527239,0.9458457115120324,0.5036343246108457,0.7362768496420048,0.049569971331422095,0.021852832287549973,1,21.695424795150757
8,0.03324357883946873,0.945851919165335,0.5061614895926149,0.736873508353222,0.04998999933328888,0.03430856019258499,1,20.75450038909912
9,0.0332361524126691,0.9444224085901669,0.5001242240517293,0.7297136038186157,0.049883325555037,0.045839376747608185,0,20.312828302383423
10,0.033069137378658416,0.9441340918352393,0.5018094053353229,0.727326968973747,0.049929995333022205,0.025262288749217987,0,20.69667649269104
11,0.03320580852002832,0.9453745007025925,0.49952643345241104,0.7344868735083532,0.04986999133275552,0.03449242562055588,0,20.703085899353027
12,0.0330020442744497,0.9454609702699353,0.5021255661868758,0.7398568019093079,0.04956330422028135,0.01795145869255066,1,21.23346734046936
13,0.03289034386343178,0.9452218751735398,0.4993064405352532,0.733890214797136,0.04999666644442963,0.02775711752474308,0,20.955530405044556
14,0.032833081661081794,0.9456987367176906,0.49674760819662767,0.7362768496420048,0.04993666244416294,0.03352939710021019,0,21.510860681533813
15,0.0327119308737795,0.9469691913430665,0.4982726159220555,0.7326968973747017,0.04996333088872591,0.03842523321509361,0,20.342216730117798
16,0.03271585675246064,0.9459695523058737,0.5015364936907267,0.7279236276849642,0.04999666644442963,0.02087615802884102,0,21.256523370742798
17,0.032548588812256904,0.9453619242873947,0.5030774695970374,0.7356801909307876,0.049889992666177746,0.028969066217541695,0,21.235257148742676
18,0.03267202369166291,0.9463517098435043,0.5031016238597837,0.7321002386634845,0.049983332222148145,0.02675478719174862,0,21.206197500228882
19,0.03255759273431484,0.9465084665151104,0.5026795360553822,0.733890214797136,0.049863324221614776,0.023612065240740776,0,21.46548104286194
20,0.032490193741375836,0.9458691876196679,0.5011144305351793,0.7279236276849642,0.04982998866591106,0.02105310559272766,0,20.111340522766113
